token,pool,pool_name,crossed_on,entry_cap,ath_cap,ath_on,days_to_ath,peak_multiple,realisable_multiple,cap_now,drawdown_from_ath,is_runner,reserve_now
HOOD,0xd3ca173cef100c1d239c93174dda610f694401b1,HOOD / WETH 0.008%,2026-08-28,4.039561244287061e+20,4.0417845798038e+20,2026-09-19,2,1.0005503903474375,1.0,4.0417845798038e+20,0.0,True,6.561931036e-05
h33,0xaa0915e61bdcddd3db50db13493af78637147010,h33 / WETH,2026-09-13,7448435.138693737,2.058936166848766e+20,2026-09-16,1,27642533344391.184,27642533344391.184,1.26257050743667e+20,0.3867850165704486,True,0.05575708201
BOOMER,0x73f59948e473cb37164df951671ad61352036e1221d783ef0f225707f5212e14,BOOMER / SPY,2026-09-03,3.9360708590127245e+17,3.9360708590127245e+17,2026-09-03,0,1.0,0.9927082104335168,3.895857676006444e+17,0.010216580048146517,True,98513.536
CUPCAKE,0x8614bc7cdb6c2c8f15c6fcc094a8b052e50e667f,CUPCAKE / WETH,2026-09-05,11669502.138298828,13509090269.2708,2026-09-21,16,1157.6406695993069,1.0,13509090269.2708,0.0,True,13405.0646
RBS,0xb23de2d42f870feda450b5b2ecef865ed2c27ad096c1a58e6989b807e6215ac3,WETH / RBS,2026-07-11,4439910176.199292,6593399543.09835,2026-09-21,53,1.4850299401197604,1.3293087356958684,6593399543.09835,0.0,True,5945.6096
WETH,0xbac3aa3b91584a53a579b3c999a56756e954e59247e497bad1d25a4334bde551,WETH / USDG,2026-08-20,5755345256.143322,6551314875.626172,2026-09-21,32,1.1383009331426681,1.1359176189187912,6551314875.626172,0.0,True,20078124.3411
MNM,0x1ec015906574bd9d809e3935b9b1fa8d38cd22a4303f658fb23f70c90a7a204c,WETH / MNM,2026-07-12,4437266372.419197,6547021788.937201,2026-09-19,26,1.47546287273436,1.3709441211682492,6360300058.41198,0.02852010219986334,True,5945.0777
SLM,0x9ee7ea336da4ff7f95b78b7ddbed04d61832574a356e3750a3f769263b277fc0,WETH / SLM,2026-07-11,4445321325.992204,6486659054.032724,2026-09-19,33,1.4592103873581939,1.0714742289243016,6347426957.763089,0.021464377133106005,True,5945.3436
USDT,0x1ef4c680143e79d288409c040c56b0653634e5d1,USDT / USDG 0.01%,2026-09-18,999903504.0379881,999903504.0379881,2026-09-18,0,1.0,0.9997342450177292,999637774.7,0.00026575498227066063,True,17.2903
NVDA,0x8d6b1509d0fe89bf3f51276719db140944293e44,USDG / NVDA 0.3%,2026-07-14,689723859.0219007,721473434.6970226,2026-07-29,15,1.0460323001152172,1.0369186221961808,689292088.505655,0.04460503276171468,True,90.9717
VIRTUAL,0xa95732060867f07aa9b8ae9a4b7b8d737bc3374f1dfbb952759c5ed676e8737c,USDG / VIRTUAL 0.3%,2026-07-09,689046221.9271566,697610919.0747238,2026-07-18,9,1.0124297860941942,1.0061314760744757,690469036.0375015,0.010237630808151654,True,567246.0675
USDG,0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,USDG / WETH 0.01%,2026-07-08,689985590.5432063,693323505.5588317,2026-09-05,59,1.004837659019803,0.9994871111684576,687911603.7830513,0.007805738205022172,True,23758003.2376
